,Unnamed: 0,Jugador,País,Posición,Equipo,Competición,Edad,Min/90,Goles en contra/90,Paradas,Porcentaje de paradas,Porcentaje portería a cero,Penaltis,Penaltis fallidos,Penaltis parados,Penaltis fallidos.1,Porcentaje penaltis salvados,Goles en contra de tiro libre,Goles en contra de tiro de esquina,% de pases > 40 yds completados,Distancia media de los pases,% saques de meta > 40 yds completados,Distancia media de los saques de meta,% pases cruzados detenidos,Métrica de Paradas
0,0,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2.6,1.51,8,66.7,100.0,0,0,0,0,0.0,0,0,35.9,32.4,95.5,64.5,4.9,1.9120000000000001
1,1,Kepa Arrizabalaga,ESP,GK,Real Madrid,La Liga,28,13.3,0.68,30,76.3,61.5,0,0,0,0,0.0,0,0,19.2,27.0,25.7,30.6,3.8,1.568
2,2,Augusto Batalla,ARG,GK,Granada,La Liga,27,17.0,1.65,58,67.4,17.6,0,0,0,0,0.0,0,6,45.8,39.4,77.9,55.9,8.4,1.27
3,3,Yassine Bounou,MAR,GK,Sevilla,La Liga,32,1.0,2.0,1,33.3,0.0,0,0,0,0,0.0,0,0,41.7,36.1,85.7,57.4,0.0,0.33299999999999996
4,4,Claudio Bravo,CHI,GK,Betis,La Liga,40,7.0,0.71,16,75.0,28.6,0,0,0,0,0.0,0,0,30.2,30.6,48.3,40.1,4.0,1.236
5,5,Cárdenas,ESP,GK,Rayo Vallecano,La Liga,26,1.0,1.0,0,0.0,0.0,0,0,0,0,0.0,0,0,36.1,36.3,50.0,53.5,0.0,0.0
6,6,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,31,3.7,0.0,15,100.0,75.0,0,0,0,0,0.0,0,0,16.2,26.7,11.1,27.8,4.3,1.965
7,7,Cristian,ESP,GK,Valencia,La Liga,25,0.6,1.58,2,66.7,0.0,0,0,0,0,0.0,0,1,26.7,29.1,33.3,32.7,0.0,0.667
8,8,Iván Cuéllar,ESP,GK,Mallorca,La Liga,39,1.0,1.0,5,83.3,0.0,0,0,0,0,0.0,0,0,31.3,33.0,33.3,35.7,16.7,1.668
9,9,Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,29,37.0,1.27,104,69.3,35.1,2,1,1,0,50.0,1,5,47.1,39.4,60.3,48.4,4.3,1.7590000000000001
10,10,Marko Dmitrović,SRB,GK,Sevilla,La Liga,31,13.0,1.92,44,66.2,15.4,2,2,0,0,0.0,0,3,32.5,32.7,58.2,45.9,7.2,1.1760000000000002
11,11,Jaume Doménech,ESP,GK,Valencia,La Liga,32,0.9,3.42,9,75.0,0.0,0,0,0,0,0.0,1,2,62.5,40.5,71.4,51.4,5.3,1.0150000000000001
12,12,Aarón Escandell,ESP,GK,Las Palmas,La Liga,27,1.7,1.76,1,25.0,0.0,0,0,0,0,0.0,0,0,27.4,30.4,50.0,41.3,4.2,0.46
13,13,Aitor Fernández,ESP,GK,Osasuna,La Liga,32,6.1,1.47,11,60.0,16.7,1,1,0,0,0.0,0,2,56.3,42.5,68.2,49.7,1.4,0.837
14,14,Raúl Fernández,ESP,GK,Granada,La Liga,35,3.1,3.54,7,35.3,0.0,1,0,0,1,0.0,0,1,37.5,35.7,82.4,62.1,11.1,0.908
15,15,Fernando,ESP,GK,Almería,La Liga,33,4.0,2.5,13,56.5,0.0,0,0,0,0,0.0,0,1,39.8,35.6,53.8,44.0,5.6,0.845
16,16,André Ferreira,POR,GK,Granada,La Liga,27,14.9,1.95,49,66.2,0.0,3,3,0,0,0.0,0,2,31.4,32.2,58.2,44.3,3.1,0.8170000000000001
17,17,Daniel Fuzato,BRA,GK,Getafe,La Liga,26,0.1,25.71,0,0.0,0.0,0,0,0,0,0.0,0,1,50.0,39.2,100.0,71.8,20.0,1.0
18,18,Paulo Gazzaniga,ARG,GK,Girona,La Liga,31,38.0,1.21,121,75.6,31.6,7,5,1,1,16.7,0,8,25.6,30.0,52.0,44.8,7.7,1.624
19,19,David Gil,ESP,GK,Cádiz,La Liga,29,4.1,1.94,17,66.7,25.0,0,0,0,0,0.0,0,0,76.9,49.3,93.8,63.5,7.7,1.302
20,20,Dominik Greif,SVK,GK,Mallorca,La Liga,26,1.0,0.0,4,100.0,100.0,0,0,0,0,0.0,0,0,52.2,42.0,66.7,54.2,0.0,2.0
21,21,Vicente Guaita,ESP,GK,Celta Vigo,La Liga,36,26.7,1.46,83,70.8,23.1,5,4,0,1,0.0,0,5,39.4,35.5,58.2,45.3,5.5,1.214
22,22,Sergio Herrera,ESP,GK,Osasuna,La Liga,30,31.9,1.47,84,64.4,28.1,1,0,1,0,100.0,0,6,52.0,40.4,71.2,51.2,6.2,2.2350000000000003
23,23,Filip Jørgensen,DEN,GK,Villarreal,La Liga,21,36.0,1.75,143,72.2,16.7,6,6,0,0,0.0,1,9,24.5,29.7,41.6,37.8,5.2,1.149
24,24,Jeremías Ledesma,ARG,GK,Cádiz,La Liga,30,33.9,1.39,104,70.2,26.5,2,2,0,0,0.0,0,6,60.4,44.0,85.6,62.1,10.1,1.472
25,25,Andriy Lunin,UKR,GK,Real Madrid,La Liga,24,21.0,0.81,48,75.4,47.6,1,1,0,0,0.0,0,2,13.7,25.2,20.7,28.7,9.5,1.7050000000000003
26,26,Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,22,36.5,1.12,103,73.8,35.1,6,3,3,0,50.0,0,4,57.3,41.4,71.8,53.4,8.5,2.0140000000000002
27,27,Diego Mariño,ESP,GK,Almería,La Liga,33,1.0,2.0,2,100.0,0.0,2,2,0,0,0.0,0,0,20.0,24.1,0.0,16.5,0.0,1.0
28,28,Unai Marrero,ESP,GK,Real Sociedad,La Liga,21,1.6,1.9,2,60.0,0.0,1,1,0,0,0.0,0,0,45.9,37.0,100.0,63.4,3.7,0.785
29,29,Marc Martínez,ESP,GK,Granada,La Liga,33,3.0,3.67,12,60.9,0.0,2,2,0,0,0.0,0,3,33.8,33.3,58.3,46.3,0.0,0.609
30,30,Luís Maximiano,POR,GK,Almería,La Liga,24,33.0,1.91,111,66.3,18.2,7,4,1,2,20.0,0,7,38.4,35.5,61.0,46.3,4.5,1.27
31,31,Ørjan Nyland,NOR,GK,Sevilla,La Liga,32,24.0,1.13,78,76.9,25.0,3,3,0,0,0.0,1,1,49.9,39.4,78.6,56.4,5.6,1.2990000000000002
32,32,Jan Oblak,SVN,GK,Atlético Madrid,La Liga,30,38.0,1.13,101,70.8,34.2,2,1,0,1,0.0,0,3,27.6,31.5,46.6,38.7,6.2,1.36
33,33,Jesús Owono,EQG,GK,Alavés,La Liga,22,4.0,2.0,16,66.7,25.0,0,0,0,0,0.0,0,1,54.5,41.7,93.5,66.8,13.8,1.6070000000000002
34,34,Iñaki Peña,ESP,GK,Barcelona,La Liga,24,10.0,1.7,22,56.4,20.0,0,0,0,0,0.0,0,0,13.3,23.7,33.3,35.5,1.7,0.849
35,35,Predrag Rajković,SRB,GK,Mallorca,La Liga,27,36.0,1.19,95,71.7,25.0,5,4,1,0,20.0,1,4,60.9,44.7,73.0,54.3,6.6,1.497
36,36,Pepe Reina,ESP,GK,Villarreal,La Liga,40,2.0,1.0,7,77.8,0.0,0,0,0,0,0.0,0,0,24.1,30.2,36.4,38.8,2.6,0.908
37,37,Álex Remiro,ESP,GK,Real Sociedad,La Liga,28,36.4,0.99,94,76.2,40.5,6,5,1,0,16.7,0,5,30.6,32.0,65.6,50.9,4.7,1.5690000000000002
38,38,Rui Silva,POR,GK,Betis,La Liga,29,27.5,1.31,85,75.8,32.1,8,7,1,0,12.5,2,3,36.0,33.5,55.7,43.0,8.3,1.619
