,Jugador,País,Posición,Equipo,Competición,Edad,Min/90,Goles en contra/90,Paradas,Porcentaje de paradas,Porcentaje portería a cero,Penaltis,Penaltis fallidos,Penaltis parados,Penaltis fallidos,Porcentaje penaltis salvados
0,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2.6,1.51,8,66.7,100.0,0,0,0,0,0
1,Kepa Arrizabalaga,ESP,GK,Real Madrid,La Liga,28,13.3,0.68,30,76.3,61.5,0,0,0,0,0
2,Augusto Batalla,ARG,GK,Granada,La Liga,27,17.0,1.65,58,67.4,17.6,0,0,0,0,0
3,Yassine Bounou,MAR,GK,Sevilla,La Liga,32,1.0,2.00,1,33.3,0.0,0,0,0,0,0
4,Claudio Bravo,CHI,GK,Betis,La Liga,40,7.0,0.71,16,75.0,28.6,0,0,0,0,0
5,Cárdenas,ESP,GK,Rayo Vallecano,La Liga,26,1.0,1.00,0,0.0,0.0,0,0,0,0,0
6,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,31,3.7,0.00,15,100.0,75.0,0,0,0,0,0
7,Cristian,ESP,GK,Valencia,La Liga,25,0.6,1.58,2,66.7,0,0,0,0,0,0
8,Iván Cuéllar,ESP,GK,Mallorca,La Liga,39,1.0,1.00,5,83.3,0.0,0,0,0,0,0
9,Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,29,37.0,1.27,104,69.3,35.1,2,1,1,0,50.0
10,Marko Dmitrović,SRB,GK,Sevilla,La Liga,31,13.0,1.92,44,66.2,15.4,2,2,0,0,0.0
11,Jaume Doménech,ESP,GK,Valencia,La Liga,32,0.9,3.42,9,75.0,0.0,0,0,0,0,0
12,Aarón Escandell,ESP,GK,Las Palmas,La Liga,27,1.7,1.76,1,25.0,0.0,0,0,0,0,0
13,Aitor Fernández,ESP,GK,Osasuna,La Liga,32,6.1,1.47,11,60.0,16.7,1,1,0,0,0.0
14,Raúl Fernández,ESP,GK,Granada,La Liga,35,3.1,3.54,7,35.3,0.0,1,0,0,1,0
15,Fernando,ESP,GK,Almería,La Liga,33,4.0,2.50,13,56.5,0.0,0,0,0,0,0
16,André Ferreira,POR,GK,Granada,La Liga,27,14.9,1.95,49,66.2,0.0,3,3,0,0,0.0
17,Daniel Fuzato,BRA,GK,Getafe,La Liga,26,0.1,25.71,0,0.0,0,0,0,0,0,0
18,Paulo Gazzaniga,ARG,GK,Girona,La Liga,31,38.0,1.21,121,75.6,31.6,7,5,1,1,16.7
19,David Gil,ESP,GK,Cádiz,La Liga,29,4.1,1.94,17,66.7,25.0,0,0,0,0,0
20,Dominik Greif,SVK,GK,Mallorca,La Liga,26,1.0,0.00,4,100.0,100.0,0,0,0,0,0
21,Vicente Guaita,ESP,GK,Celta Vigo,La Liga,36,26.7,1.46,83,70.8,23.1,5,4,0,1,0.0
22,Sergio Herrera,ESP,GK,Osasuna,La Liga,30,31.9,1.47,84,64.4,28.1,1,0,1,0,100.0
23,Filip Jørgensen,DEN,GK,Villarreal,La Liga,21,36.0,1.75,143,72.2,16.7,6,6,0,0,0.0
24,Jeremías Ledesma,ARG,GK,Cádiz,La Liga,30,33.9,1.39,104,70.2,26.5,2,2,0,0,0.0
25,Andriy Lunin,UKR,GK,Real Madrid,La Liga,24,21.0,0.81,48,75.4,47.6,1,1,0,0,0.0
26,Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,22,36.5,1.12,103,73.8,35.1,6,3,3,0,50.0
27,Diego Mariño,ESP,GK,Almería,La Liga,33,1.0,2.00,2,100.0,0.0,2,2,0,0,0.0
28,Unai Marrero,ESP,GK,Real Sociedad,La Liga,21,1.6,1.90,2,60.0,0.0,1,1,0,0,0.0
29,Marc Martínez,ESP,GK,Granada,La Liga,33,3.0,3.67,12,60.9,0.0,2,2,0,0,0.0
30,Luís Maximiano,POR,GK,Almería,La Liga,24,33.0,1.91,111,66.3,18.2,7,4,1,2,20.0
31,Ørjan Nyland,NOR,GK,Sevilla,La Liga,32,24.0,1.13,78,76.9,25.0,3,3,0,0,0.0
32,Jan Oblak,SVN,GK,Atlético Madrid,La Liga,30,38.0,1.13,101,70.8,34.2,2,1,0,1,0.0
33,Jesús Owono,EQG,GK,Alavés,La Liga,22,4.0,2.00,16,66.7,25.0,0,0,0,0,0
34,Iñaki Peña,ESP,GK,Barcelona,La Liga,24,10.0,1.70,22,56.4,20.0,0,0,0,0,0
35,Predrag Rajković,SRB,GK,Mallorca,La Liga,27,36.0,1.19,95,71.7,25.0,5,4,1,0,20.0
36,Pepe Reina,ESP,GK,Villarreal,La Liga,40,2.0,1.00,7,77.8,0.0,0,0,0,0,0
37,Álex Remiro,ESP,GK,Real Sociedad,La Liga,28,36.4,0.99,94,76.2,40.5,6,5,1,0,16.7
38,Rui Silva,POR,GK,Betis,La Liga,29,27.5,1.31,85,75.8,32.1,8,7,1,0,12.5
39,Unai Simón,ESP,GK,Athletic Club,La Liga,26,35.4,0.93,90,73.8,44.4,5,1,3,1,75.0
40,Antonio Sivera,ESP,GK,Alavés,La Liga,26,34.0,1.12,87,75.6,29.4,8,8,0,0,0.0
41,David Soria,ESP,GK,Getafe,La Liga,30,37.9,1.37,118,72.5,26.3,7,5,1,1,16.7
42,Marc-André ter Stegen,GER,GK,Barcelona,La Liga,31,28.0,0.96,75,75.5,53.6,2,2,0,0,0.0
43,Álvaro Vallés,ESP,GK,Las Palmas,La Liga,26,36.3,1.21,108,74.3,21.6,9,5,3,1,37.5
44,Fran Vieites,ESP,GK,Betis,La Liga,24,3.5,1.14,14,77.8,66.7,0,0,0,0,0
45,Iván Villar,ESP,GK,Celta Vigo,La Liga,26,11.3,1.60,26,63.6,0.0,3,2,1,0,33.3
