,Jugador,Posición,PPP del eq. cuando jugaba,Goles a favor (+) o en contra(-) del eq. cuando jugaba
0,Nabil Aberdin,DF,0.00,-1.00
1,Abner,DF,1.61,0.00
2,Abdel Abqar,DF,1.07,-0.35
3,Vicent Abril Sanz,GK,0,0
4,Marcos Acuña,DF,1.14,-0.07
5,Julen Agirrezabala,GK,1.50,-0.38
6,Lucien Agoume,MF,1.42,-0.12
7,Joseph Aidoo,DF,0.83,-0.66
8,Ilias Akhomach,"MF,FW",1.45,-0.42
9,Sergio Akieme,DF,0.32,-1.02
10,Paul Akouokou,MF,1.50,0.00
11,David Alaba,DF,2.36,+1.01
12,Raúl Albiol,DF,1.15,-0.09
13,Rubén Alcaraz,MF,0.89,-0.63
14,Omar Alderete,DF,1.06,-0.33
15,Iván Alejo,MF,1.00,-0.64
16,Carles Aleñá,MF,1.10,-0.88
17,Mohamed Ali Cho,"FW,MF",1.73,-0.72
18,Tadeo Allende,"MF,FW",0.80,-0.27
19,Domingos André Ribeiro Almeida,"FW,MF",1.00,+0.37
20,Iker Almena,FW,0,0
21,Nando Almodóvar,GK,0,0
22,Marcos Alonso,DF,3.00,+1.07
23,Adrià Altimira,"DF,MF",1.00,-1.28
24,Sergi Altimira,MF,1.43,-0.79
25,Gastón Álvarez,DF,1.15,-0.57
26,Hugo Álvarez,"MF,DF",1.83,+0.24
27,Iker Álvarez,GK,0,0
28,Yeray Álvarez,DF,1.84,+0.55
29,Selim Amallah,"FW,MF",1.45,-0.30
30,Amath,"FW,MF",0.87,-0.23
31,Miguel Ángel Rubio,DF,0.89,-0.81
32,Fabrizio Angileri,"DF,MF",1.42,-1.10
33,José Antonio,FW,0,0
34,Arvin Appiah,"FW,MF",0,0
35,Mauro Arambarri,MF,1.00,-0.53
36,Jon Aramburu,DF,1.27,-0.66
37,Julian Araujo,DF,1.08,-0.43
38,Ronald Araújo,DF,2.00,+0.86
39,Fran Árbol,GK,0,0
40,Matías Árbol,GK,0,0
41,Adu Ares,FW,1.17,0.00
42,Jesús Areso,DF,1.22,-0.30
43,Matias Arezo,FW,0.86,-1.22
44,Iñigo Arguibide,DF,1.00,0.00
45,José Arnaiz,"FW,MF",1.04,-0.48
46,Sergio Arribas,"MF,FW",0.50,-0.57
47,Kepa Arrizabalaga,GK,2.36,+1.05
48,Ricard Artero,MF,0,0
49,Iago Aspas,FW,1.00,-0.17
50,Ander Astralaga,GK,0,0
51,Ezequiel Ávila,"FW,MF",0.94,-0.10
52,Ezequiel Ávila,FW,1.17,-0.30
53,Gaizka Ayesa,GK,0,0
54,César Azpilicueta,DF,2.12,+0.51
55,Iddrisu Baba,MF,0.56,-1.32
56,Srđan Babić,DF,0.00,-2.00
57,Loïc Bade,DF,1.29,+0.12
58,Alex Baena,"MF,FW",1.50,+0.17
59,Eric Bailly,DF,2.00,+0.64
60,Cédric Bakambu,FW,2.00,+0.93
61,Alejandro Balde,DF,2.11,+0.78
62,Iván Balliu,DF,1.12,-0.38
63,Jonathan Bamba,"MF,FW",1.07,-0.23
64,Léo Baptistão,FW,0.59,-0.83
65,Kike Barja,"FW,MF",0.94,0.00
66,Ander Barrenetxea,"FW,MF",1.45,+0.38
67,Pablo Barrios,MF,2.13,+0.87
68,Marc Bartra,DF,1.33,-1.60
69,Álvaro Bastida,MF,0,0
70,Augusto Batalla,GK,0.76,-0.71
71,Bebé,"MF,FW",1.16,+0.85
72,Sheraldo Becker,"FW,MF",1.47,+1.05
73,Rayane Belaid,DF,0,0
74,Héctor Bellerín,DF,1.61,+0.21
75,Jude Bellingham,MF,2.46,+1.59
76,Eghosa Bello,FW,0,0
77,Fran Beltrán,MF,1.18,-0.11
78,Carlos Benavídez,MF,1.34,+0.48
79,Jorge Benito,GK,0,0
80,Yuri Berchiche,DF,1.85,+0.79
81,Álex Berenguer,FW,1.74,0.00
82,Isaac Bernal,FW,1.57,+0.17
83,Antonio Blanco,MF,1.30,-0.30
84,Daley Blind,DF,2.29,+1.24
85,Adri Bosch,DF,0.00,0.00
86,Yassine Bounou,GK,0.00,-1.00
87,Lucas Boyé,FW,0.52,-1.10
88,Juan Brandáriz,DF,0.58,-0.78
89,Darko Brašanac,MF,1.50,0.00
90,Brau,DF,0.00,-8.71
91,Claudio Bravo,GK,1.86,+0.86
92,Ben Brereton,"FW,MF",0.86,0.00
93,Daniel Budesca,DF,0,0
94,Ante Budimir,FW,1.30,-0.22
95,Santiago Bueno,DF,0,0
96,Pablo Busto,DF,1.50,+2.05
97,José Callejón,"MF,FW",0.72,-1.46
98,Eduardo Camavinga,"MF,DF",2.45,+1.63
99,Sergio Camello,FW,0.94,-0.81
100,José Campaña,MF,0.50,-1.05
101,Marco Camús,MF,0,0
102,João Cancelo,DF,2.16,+0.65
103,Lucas Cañizares,GK,0,0
104,Sergi Canós,"MF,FW",1.15,+0.07
105,Miguel Capitas,MF,0,0
106,Étienne Capoue,MF,1.31,-0.31
107,Isaac Carcelen,DF,0.86,-0.62
108,Cárdenas,GK,0.00,-1.00
109,Marc Cardona,FW,1.08,+0.50
110,Sergi Cardona,DF,1.09,-0.26
111,Johnny Cardoso,MF,1.53,+0.41
112,Juan Carlos,GK,0.00,0
113,Carmona,"DF,MF",1.03,-0.55
114,Yannick Carrasco,DF,2.33,+2.04
115,Álvaro Carreras,"MF,FW",0.46,-0.19
116,Álvaro Carrillo,DF,0,0
117,Coke Carrillo,GK,0,0
118,Dani Carvajal,DF,2.57,+1.74
119,William Carvalho,MF,1.55,+0.13
120,Marc Casado,MF,3.00,0.00
121,Catena,DF,1.17,-0.39
122,Dani Ceballos,"MF,FW",2.60,+1.51
123,Álex Centelles,DF,0.64,-1.10
124,Franco Cervi,"MF,DF",1.35,-0.82
125,Pep Chavarría,"DF,MF",0.83,-0.62
126,Andreas Christensen,"DF,MF",2.17,+0.50
127,Víctor Chust,DF,0.95,-0.58
128,Pathé Ciss,MF,1.16,-0.97
129,Silvi Clúa,MF,3.00,0.00
130,Saúl Coco,DF,1.03,-0.39
131,Santi Comesaña,MF,1.59,+0.44
132,Copete,DF,1.05,-0.68
133,Francis Coquelin,MF,1.59,+0.99
134,Theo Corbeanu,"MF,FW",0.22,-1.48
135,Jesús Corona,"MF,DF",0.00,+5.29
136,Ángel Correa,"FW,MF",1.94,+1.00
137,Thierry Correia,DF,1.32,-0.13
138,Jaume Costa,DF,1.13,-0.37
139,Samu Costa,MF,1.00,-0.35
140,Thibaut Courtois,GK,2.50,+3.25
141,Yan Couto,"DF,FW",2.21,+1.04
142,Crespo,MF,0.73,-1.02
143,Cristian,GK,0.00,-1.58
144,Juan Cruz Armada,DF,1.27,-0.27
145,Juan Cruz,FW,1.60,-1.18
146,Pau Cubarsí,DF,2.32,+0.87
147,Iván Cuéllar,GK,3.00,+1.00
148,Jorge Cuenca,DF,1.41,-0.50
149,Eric Curbelo,"DF,MF",0.50,-1.76
150,Alberto Dadie,MF,0.00,+3.21
151,Sergi Darder,MF,1.08,-0.42
152,Lulo Dasilva,MF,0,0
153,Rodrigo De Paul,MF,1.97,+0.65
154,Mouctar Diakhaby,"DF,MF",1.14,-0.34
155,Moussa Diakité,MF,1.00,0.00
156,Selu Diallo,MF,0,0
157,Assane Diao,FW,1.50,+0.43
158,Brahim Díaz,"FW,MF",2.52,+2.04
159,Víctor Díaz,"DF,MF",0.75,-3.89
160,Famara Diedhiou,"FW,MF",0.50,-1.01
161,Stole Dimitrievski,GK,1.03,-0.49
162,Djené,"DF,MF",1.18,-0.18
163,Marko Dmitrović,GK,0.62,-0.85
164,Jaume Doménech,GK,0.00,-3.42
165,Carlos Dominguez,DF,1.27,-0.28
166,Javier Dominguez,DF,0,0
167,Mario Dominguez,FW,0.33,-3.60
168,Carlos Dotor,MF,0.65,-0.38
169,Anastasios Douvikas,FW,1.16,-1.09
170,Artem Dovbyk,FW,2.19,+1.08
171,Domingos Duarte,DF,1.27,-0.40
172,Rubén Duarte,DF,1.07,-0.48
173,Hugo Duro,FW,1.32,+0.06
174,Unai Eguíluz,DF,0,0
175,Aritz Elustondo,DF,1.73,+0.22
176,Adri Embarba,"FW,MF",0.58,-0.98
177,Youssef En-Nesyri,FW,1.21,+0.25
178,Enrique,MF,0,0
179,Gonzalo Escalante,MF,0.84,-1.01
180,Aarón Escandell,GK,0.33,-1.76
181,Facundo Esnáider,MF,0,0
182,Alfonso Espino,DF,1.06,-0.54
183,Bernardo Espinosa,DF,2.00,0.00
184,Karl Etta,FW,0.00,0.00
185,Abdessamad Ezzalzouli,"FW,MF",2.00,+2.65
186,Abdessamad Ezzalzouli,FW,1.35,+0.21
187,Radamel Falcao,"FW,DF",0.87,0.00
188,Fali,DF,0.90,-0.67
189,Ansu Fati,"MF,FW",2.33,+3.60
190,Nabil Fekir,"MF,FW",1.79,+0.34
191,Luiz Felipe,DF,1.75,0.00
192,João Félix,FW,2.17,+1.05
193,João Félix,"FW,MF",0,0
194,Kiko Femenía,DF,1.52,+0.68
195,Guilherme Fernandes,GK,0,0
196,Aitor Fernández,GK,0.63,-1.14
197,Álex Fernández,MF,0.85,-0.98
198,Carlos Fernández,FW,1.55,+0.66
199,César Fernández,GK,0,0
200,Marcos Fernández Cózar,DF,0,0
201,Raúl Fernández,GK,0.75,-0.96
202,Valery Fernández,"MF,FW",2.00,+0.18
203,Fernando,GK,1.00,+0.25
204,Fernando,MF,1.00,-0.39
205,André Ferreira,GK,0.33,-1.14
206,Pau Ferrer,FW,0,0
207,Rachad Fettal,FW,1.00,0.00
208,Bryan Fiabema,FW,0,0
209,Pablo Fornals,"FW,MF",1.47,+0.16
210,Héctor Fort,DF,2.57,+1.98
211,Dimitri Foulquier,"DF,MF",1.36,-0.10
212,Juan Foyth,DF,1.00,-0.42
213,Aitor Fraga,GK,0,0
214,Fran,GK,0,0
215,Jorge de Frutos,"FW,MF",0.97,-0.52
216,Darío Fuentes,DF,0,0
217,Toni Fuidias,GK,0,0
218,Daniel Fuzato,GK,0.00,-25.71
219,Matteo Gabbia,DF,1.43,-0.38
220,George Gagua,FW,0,0
221,Javi Galán,DF,1.80,+1.02
222,Javi Galán,DF,1.57,+0.25
223,Iñigo Ruiz de Galarreta,MF,1.79,+1.08
224,Aleix García,MF,2.11,+0.96
225,Álvaro García,DF,0,0
226,Álvaro García,"FW,MF",0.91,-0.58
227,Borja García,"FW,MF",0,0
