,Jugador,Posición,Derribos,Derribos completados,Regateadores tackleados,Bloqueos,Disparos bloqueados,Pases bloqueados,Jug. tackleados + intercepciones,Despejes
0,Nabil Aberdin,DF,0,0,0,0,0,0,0,4
1,Abner,DF,25,19,17,23,5,18,40,62
2,Abdel Abqar,DF,35,19,21,31,26,5,58,115
3,Marcos Acuña,DF,33,21,9,12,2,10,37,25
4,Julen Agirrezabala,GK,0,0,0,0,0,0,0,0
5,Lucien Agoume,MF,23,18,9,6,1,5,30,8
6,Joseph Aidoo,DF,8,3,4,3,1,2,12,28
7,Ilias Akhomach,"MF,FW",36,21,10,10,2,8,49,13
8,Sergio Akieme,DF,27,15,13,14,4,10,37,34
9,Paul Akouokou,MF,5,3,3,3,1,2,6,1
10,David Alaba,DF,13,9,4,10,7,3,28,34
11,Raúl Albiol,DF,25,14,18,31,24,7,41,102
12,Rubén Alcaraz,MF,97,59,50,60,14,46,130,55
13,Omar Alderete,DF,28,21,19,30,18,12,41,111
14,Iván Alejo,MF,40,23,17,20,0,20,47,17
15,Carles Aleñá,MF,24,8,10,14,3,11,28,13
16,Mohamed Ali Cho,"FW,MF",4,3,2,6,0,6,5,1
17,Tadeo Allende,"MF,FW",6,1,4,3,0,3,9,3
18,Domingos André Ribeiro Almeida,"FW,MF",25,15,9,13,1,12,31,5
19,Marcos Alonso,DF,5,3,3,2,0,2,9,6
20,Adrià Altimira,"DF,MF",16,7,9,18,5,13,21,18
21,Sergi Altimira,MF,15,8,11,12,1,11,24,10
22,Gastón Álvarez,DF,68,37,37,40,11,29,103,80
23,Hugo Álvarez,"MF,DF",14,9,9,4,1,3,19,9
24,Yeray Álvarez,DF,18,9,12,8,5,3,29,34
25,Selim Amallah,"FW,MF",17,12,3,13,0,13,28,6
26,Amath,"FW,MF",9,6,2,2,0,2,12,6
27,Miguel Ángel Rubio,DF,20,12,14,31,18,13,48,74
28,Fabrizio Angileri,"DF,MF",1,1,1,0,0,0,5,8
29,Mauro Arambarri,MF,6,2,1,1,0,1,8,7
30,Jon Aramburu,DF,24,15,15,8,3,5,31,17
31,Julian Araujo,DF,41,22,23,23,16,7,51,52
32,Ronald Araújo,DF,27,22,12,20,11,9,39,66
33,Adu Ares,FW,8,4,2,1,0,1,9,0
34,Jesús Areso,DF,45,24,31,36,15,21,63,58
35,Matias Arezo,FW,7,3,1,4,1,3,8,4
36,Iñigo Arguibide,DF,1,0,0,0,0,0,1,1
37,José Arnaiz,"FW,MF",14,8,6,11,2,9,17,2
38,Sergio Arribas,"MF,FW",34,17,14,20,1,19,50,8
39,Kepa Arrizabalaga,GK,0,0,0,0,0,0,0,4
40,Iago Aspas,FW,11,6,1,23,3,20,21,8
41,Ezequiel Ávila,"FW,MF",3,2,3,14,0,14,7,8
42,Ezequiel Ávila,FW,2,1,1,2,0,2,3,4
43,César Azpilicueta,DF,25,14,12,25,6,19,41,46
44,Iddrisu Baba,MF,46,26,17,20,6,14,57,27
45,Srđan Babić,DF,2,2,1,1,1,0,2,2
46,Loïc Bade,DF,65,41,30,23,15,8,103,116
47,Alex Baena,"MF,FW",34,21,20,23,2,21,47,17
48,Eric Bailly,DF,5,3,2,8,8,0,14,38
49,Cédric Bakambu,FW,1,0,0,2,0,2,1,0
50,Alejandro Balde,DF,20,11,7,14,1,13,25,21
51,Iván Balliu,DF,44,31,22,27,11,16,73,66
52,Jonathan Bamba,"MF,FW",14,9,2,20,0,20,32,12
53,Léo Baptistão,FW,25,16,9,13,1,12,36,22
54,Kike Barja,"FW,MF",6,2,3,2,1,1,8,2
55,Ander Barrenetxea,"FW,MF",32,21,10,18,1,17,38,5
56,Pablo Barrios,MF,45,25,19,20,3,17,73,24
57,Marc Bartra,DF,4,3,4,3,1,2,7,10
58,Augusto Batalla,GK,0,0,0,0,0,0,0,10
59,Bebé,"MF,FW",2,2,1,1,0,1,2,0
60,Sheraldo Becker,"FW,MF",2,2,0,3,0,3,3,0
61,Héctor Bellerín,DF,34,22,20,13,5,8,56,40
62,Jude Bellingham,MF,42,34,12,55,5,50,63,17
63,Fran Beltrán,MF,56,32,24,28,2,26,74,34
64,Carlos Benavídez,MF,56,35,19,13,5,8,75,31
65,Yuri Berchiche,DF,33,25,19,28,9,19,53,62
66,Álex Berenguer,FW,23,14,7,23,0,23,28,13
67,Isaac Bernal,FW,6,3,5,12,0,12,6,11
68,Antonio Blanco,MF,61,36,31,25,2,23,96,30
69,Daley Blind,DF,47,21,29,37,19,18,68,113
70,Adri Bosch,DF,1,1,0,0,0,0,1,1
71,Yassine Bounou,GK,0,0,0,0,0,0,0,0
72,Lucas Boyé,FW,50,25,14,35,5,30,60,46
73,Juan Brandáriz,DF,34,22,16,38,23,15,48,107
74,Darko Brašanac,MF,1,0,1,1,0,1,1,0
75,Brau,DF,1,0,1,0,0,0,1,2
76,Claudio Bravo,GK,0,0,0,0,0,0,0,2
77,Ben Brereton,"FW,MF",2,2,0,0,0,0,2,0
78,Ante Budimir,FW,21,15,5,19,5,14,26,18
79,Pablo Busto,DF,1,1,1,0,0,0,2,3
80,José Callejón,"MF,FW",13,6,8,7,1,6,18,10
81,Eduardo Camavinga,"MF,DF",76,47,23,36,8,28,105,29
82,Sergio Camello,FW,16,5,6,10,2,8,19,15
83,José Campaña,MF,2,2,0,3,2,1,4,3
84,João Cancelo,DF,64,44,38,35,6,29,93,59
85,Sergi Canós,"MF,FW",23,13,10,14,2,12,34,9
86,Étienne Capoue,MF,32,18,15,20,4,16,54,24
87,Isaac Carcelen,DF,50,31,25,24,7,17,77,87
88,Cárdenas,GK,0,0,0,0,0,0,0,1
89,Marc Cardona,FW,9,8,1,5,0,5,11,7
90,Sergi Cardona,DF,90,55,55,45,7,38,136,102
91,Johnny Cardoso,MF,48,29,22,20,5,15,80,31
92,Carmona,"DF,MF",30,21,9,15,2,13,51,25
93,Yannick Carrasco,DF,4,4,2,2,0,2,5,6
94,Álvaro Carreras,"MF,FW",13,8,5,5,1,4,20,9
95,Dani Carvajal,DF,47,32,23,28,9,19,69,54
96,William Carvalho,MF,20,12,10,8,1,7,28,9
97,Marc Casado,MF,1,1,1,0,0,0,2,2
98,Catena,DF,33,18,19,24,15,9,48,119
99,Dani Ceballos,"MF,FW",10,5,5,9,2,7,10,4
100,Álex Centelles,DF,11,6,8,5,2,3,29,29
101,Franco Cervi,"MF,DF",24,18,13,16,0,16,33,4
102,Pep Chavarría,"DF,MF",23,18,11,15,3,12,29,29
103,Andreas Christensen,"DF,MF",23,14,16,23,10,13,44,41
104,Víctor Chust,DF,29,18,18,27,21,6,40,92
105,Pathé Ciss,MF,44,24,16,27,10,17,74,54
106,Silvi Clúa,MF,2,0,2,1,0,1,2,0
107,Saúl Coco,DF,32,19,11,27,15,12,52,120
108,Santi Comesaña,MF,44,26,19,33,9,24,66,27
109,Copete,DF,45,27,30,12,6,6,77,47
110,Francis Coquelin,MF,20,12,5,14,4,10,36,15
111,Theo Corbeanu,"MF,FW",5,2,1,3,0,3,8,2
112,Jesús Corona,"MF,DF",0,0,0,0,0,0,1,0
113,Ángel Correa,"FW,MF",22,15,5,13,0,13,24,6
114,Thierry Correia,DF,63,35,28,39,16,23,96,61
115,Jaume Costa,DF,38,22,18,14,4,10,54,35
116,Samu Costa,MF,91,50,46,28,14,14,130,59
117,Thibaut Courtois,GK,1,0,0,0,0,0,1,0
118,Yan Couto,"DF,FW",45,34,20,14,2,12,55,31
119,Crespo,MF,16,9,9,15,6,9,26,7
120,Cristian,GK,0,0,0,0,0,0,0,0
121,Juan Cruz Armada,DF,27,15,17,14,7,7,39,39
122,Juan Cruz,FW,0,0,0,0,0,0,0,0
123,Pau Cubarsí,DF,22,14,13,20,16,4,34,65
124,Iván Cuéllar,GK,0,0,0,0,0,0,0,0
125,Jorge Cuenca,DF,42,29,19,26,15,11,63,114
126,Eric Curbelo,"DF,MF",4,3,3,3,1,2,6,5
127,Alberto Dadie,MF,2,1,0,1,0,1,2,0
128,Sergi Darder,MF,39,26,12,20,4,16,55,16
129,Rodrigo De Paul,MF,31,21,15,28,1,27,42,15
130,Mouctar Diakhaby,"DF,MF",18,11,11,17,7,10,29,62
131,Moussa Diakité,MF,0,0,0,0,0,0,0,0
132,Assane Diao,FW,20,12,6,22,4,18,27,7
133,Brahim Díaz,"FW,MF",29,19,6,16,1,15,34,2
134,Víctor Díaz,"DF,MF",5,3,1,1,0,1,6,8
135,Famara Diedhiou,"FW,MF",1,1,0,0,0,0,1,2
136,Stole Dimitrievski,GK,1,1,1,0,0,0,1,17
137,Djené,"DF,MF",34,19,15,31,15,16,57,70
138,Marko Dmitrović,GK,1,1,1,0,0,0,2,5
139,Jaume Doménech,GK,0,0,0,0,0,0,0,0
140,Carlos Dominguez,DF,33,21,23,24,12,12,55,78
141,Mario Dominguez,FW,0,0,0,0,0,0,0,0
142,Carlos Dotor,MF,14,7,4,12,2,10,18,4
143,Anastasios Douvikas,FW,15,7,3,6,3,3,17,9
144,Artem Dovbyk,FW,4,3,0,8,1,7,4,17
145,Domingos Duarte,DF,7,4,5,7,5,2,15,27
146,Rubén Duarte,DF,39,20,21,21,6,15,62,69
