,Jugador,País,Posición,Equipo,Competición,Edad
0,Nabil Aberdin,FRA,DF,Getafe,La Liga,20
1,Abner,BRA,DF,Betis,La Liga,23
2,Abdel Abqar,MAR,DF,Alavés,La Liga,24
3,Marcos Acuña,ARG,DF,Sevilla,La Liga,31
4,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22
5,Lucien Agoume,FRA,MF,Sevilla,La Liga,21
6,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27
7,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,19
8,Sergio Akieme,ESP,DF,Almería,La Liga,25
9,Paul Akouokou,CIV,MF,Betis,La Liga,25
10,David Alaba,AUT,DF,Real Madrid,La Liga,31
11,Raúl Albiol,ESP,DF,Villarreal,La Liga,37
12,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,32
13,Omar Alderete,PAR,DF,Getafe,La Liga,26
14,Iván Alejo,ESP,MF,Cádiz,La Liga,28
15,Carles Aleñá,ESP,MF,Getafe,La Liga,25
16,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,19
17,Tadeo Allende,ARG,"MF,FW",Celta Vigo,La Liga,24
18,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,23
19,Marcos Alonso,ESP,DF,Barcelona,La Liga,32
20,Adrià Altimira,ESP,"DF,MF",Villarreal,La Liga,22
21,Sergi Altimira,ESP,MF,Betis,La Liga,21
22,Gastón Álvarez,URU,DF,Getafe,La Liga,23
23,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,20
24,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,28
25,Selim Amallah,MAR,"FW,MF",Valencia,La Liga,26
26,Amath,SEN,"FW,MF",Mallorca,La Liga,27
27,Miguel Ángel Rubio,ESP,DF,Granada,La Liga,25
28,Fabrizio Angileri,ARG,"DF,MF",Getafe,La Liga,29
29,Mauro Arambarri,URU,MF,Getafe,La Liga,27
30,Jon Aramburu,VEN,DF,Real Sociedad,La Liga,21
31,Julian Araujo,MEX,DF,Las Palmas,La Liga,21
32,Ronald Araújo,URU,DF,Barcelona,La Liga,24
33,Adu Ares,ESP,FW,Athletic Club,La Liga,21
34,Jesús Areso,ESP,DF,Osasuna,La Liga,24
35,Matias Arezo,URU,FW,Granada,La Liga,20
36,Iñigo Arguibide,ESP,DF,Osasuna,La Liga,18
37,José Arnaiz,ESP,"FW,MF",Osasuna,La Liga,28
38,Sergio Arribas,ESP,"MF,FW",Almería,La Liga,21
39,Kepa Arrizabalaga,ESP,GK,Real Madrid,La Liga,28
40,Iago Aspas,ESP,FW,Celta Vigo,La Liga,35
41,Ezequiel Ávila,ARG,"FW,MF",Osasuna,La Liga,29
42,Ezequiel Ávila,ARG,FW,Betis,La Liga,29
43,César Azpilicueta,ESP,DF,Atlético Madrid,La Liga,33
44,Iddrisu Baba,GHA,MF,Almería,La Liga,27
45,Srđan Babić,SRB,DF,Almería,La Liga,27
46,Loïc Bade,FRA,DF,Sevilla,La Liga,23
47,Alex Baena,ESP,"MF,FW",Villarreal,La Liga,22
48,Eric Bailly,CIV,DF,Villarreal,La Liga,29
49,Cédric Bakambu,COD,FW,Betis,La Liga,32
50,Alejandro Balde,ESP,DF,Barcelona,La Liga,19
51,Iván Balliu,ALB,DF,Rayo Vallecano,La Liga,31
52,Jonathan Bamba,CIV,"MF,FW",Celta Vigo,La Liga,27
53,Léo Baptistão,BRA,FW,Almería,La Liga,30
54,Kike Barja,ESP,"FW,MF",Osasuna,La Liga,26
55,Ander Barrenetxea,ESP,"FW,MF",Real Sociedad,La Liga,21
56,Pablo Barrios,ESP,MF,Atlético Madrid,La Liga,20
57,Marc Bartra,ESP,DF,Betis,La Liga,32
58,Augusto Batalla,ARG,GK,Granada,La Liga,27
59,Bebé,CPV,"MF,FW",Rayo Vallecano,La Liga,33
60,Sheraldo Becker,SUR,"FW,MF",Real Sociedad,La Liga,28
61,Héctor Bellerín,ESP,DF,Betis,La Liga,28
62,Jude Bellingham,eng ENG,MF,Real Madrid,La Liga,20
63,Fran Beltrán,ESP,MF,Celta Vigo,La Liga,24
64,Carlos Benavídez,URU,MF,Alavés,La Liga,25
65,Yuri Berchiche,ESP,DF,Athletic Club,La Liga,33
66,Álex Berenguer,ESP,FW,Athletic Club,La Liga,28
67,Isaac Bernal,ESP,FW,Sevilla,La Liga,23
68,Antonio Blanco,ESP,MF,Alavés,La Liga,23
69,Daley Blind,NED,DF,Girona,La Liga,33
70,Adri Bosch,ESP,DF,Granada,La Liga,22
71,Yassine Bounou,MAR,GK,Sevilla,La Liga,32
72,Lucas Boyé,ARG,FW,Granada,La Liga,27
73,Juan Brandáriz,ESP,DF,Almería,La Liga,24
74,Darko Brašanac,SRB,MF,Osasuna,La Liga,31
75,Brau,ESP,DF,Granada,La Liga,21
76,Claudio Bravo,CHI,GK,Betis,La Liga,40
77,Ben Brereton,CHI,"FW,MF",Villarreal,La Liga,24
78,Ante Budimir,CRO,FW,Osasuna,La Liga,32
79,Pablo Busto,ESP,DF,Betis,La Liga,17
80,José Callejón,ESP,"MF,FW",Granada,La Liga,36
81,Eduardo Camavinga,FRA,"MF,DF",Real Madrid,La Liga,20
82,Sergio Camello,ESP,FW,Rayo Vallecano,La Liga,22
83,José Campaña,ESP,MF,Las Palmas,La Liga,30
84,João Cancelo,POR,DF,Barcelona,La Liga,29
85,Sergi Canós,ESP,"MF,FW",Valencia,La Liga,26
86,Étienne Capoue,FRA,MF,Villarreal,La Liga,35
87,Isaac Carcelen,ESP,DF,Cádiz,La Liga,30
88,Cárdenas,ESP,GK,Rayo Vallecano,La Liga,26
89,Marc Cardona,ESP,FW,Las Palmas,La Liga,28
90,Sergi Cardona,ESP,DF,Las Palmas,La Liga,24
91,Johnny Cardoso,USA,MF,Betis,La Liga,21
92,Carmona,ESP,"DF,MF",Getafe,La Liga,21
93,Yannick Carrasco,BEL,DF,Atlético Madrid,La Liga,29
94,Álvaro Carreras,ESP,"MF,FW",Granada,La Liga,20
95,Dani Carvajal,ESP,DF,Real Madrid,La Liga,31
96,William Carvalho,POR,MF,Betis,La Liga,31
97,Marc Casado,ESP,MF,Barcelona,La Liga,19
98,Catena,ESP,DF,Osasuna,La Liga,28
99,Dani Ceballos,ESP,"MF,FW",Real Madrid,La Liga,26
100,Álex Centelles,ESP,DF,Almería,La Liga,25
101,Franco Cervi,ARG,"MF,DF",Celta Vigo,La Liga,29
102,Pep Chavarría,ESP,"DF,MF",Rayo Vallecano,La Liga,25
103,Andreas Christensen,DEN,"DF,MF",Barcelona,La Liga,27
104,Víctor Chust,ESP,DF,Cádiz,La Liga,23
105,Pathé Ciss,SEN,MF,Rayo Vallecano,La Liga,29
106,Silvi Clúa,ESP,MF,Girona,La Liga,18
107,Saúl Coco,EQG,DF,Las Palmas,La Liga,24
108,Santi Comesaña,ESP,MF,Villarreal,La Liga,26
109,Copete,ESP,DF,Mallorca,La Liga,23
110,Francis Coquelin,FRA,MF,Villarreal,La Liga,32
111,Theo Corbeanu,CAN,"MF,FW",Granada,La Liga,21
112,Jesús Corona,MEX,"MF,DF",Sevilla,La Liga,30
113,Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,28
114,Thierry Correia,POR,DF,Valencia,La Liga,24
115,Jaume Costa,ESP,DF,Mallorca,La Liga,35
116,Samu Costa,POR,MF,Mallorca,La Liga,22
117,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,31
118,Yan Couto,BRA,"DF,FW",Girona,La Liga,21
119,Crespo,POR,MF,Rayo Vallecano,La Liga,26
120,Cristian,ESP,GK,Valencia,La Liga,25
121,Juan Cruz Armada,ESP,DF,Osasuna,La Liga,31
122,Juan Cruz,ESP,FW,Betis,La Liga,23
123,Pau Cubarsí,ESP,DF,Barcelona,La Liga,16
124,Iván Cuéllar,ESP,GK,Mallorca,La Liga,39
125,Jorge Cuenca,ESP,DF,Villarreal,La Liga,23
