,Jugador,Min/90,Goles de penalti,Penaltis lanzados,Conducción progresiva,Pases profundos,Pases profundos recibidos,Goles/90,Asistencias/90,Creación de pel. acaba en gol
0,Nabil Aberdin,2.0,0,0,0,7,0,0.00,0.00,0.00
1,Abner,15.6,0,0,14,33,58,0.00,0.06,0.06
2,Abdel Abqar,25.7,0,0,7,49,1,0.00,0.00,0.00
3,Marcos Acuña,14.4,0,0,23,59,42,0.07,0.14,0.21
4,Julen Agirrezabala,2.6,0,0,0,0,0,0.00,0.00,0.00
5,Lucien Agoume,8.6,0,0,7,35,9,0.00,0.00,0.00
6,Joseph Aidoo,4.5,0,0,2,12,0,0.00,0.00,0.00
7,Ilias Akhomach,16.8,0,0,68,45,160,0.12,0.12,0.24
8,Sergio Akieme,18.6,0,0,27,28,72,0.11,0.00,0.11
9,Paul Akouokou,0.3,0,0,0,1,0,0.00,0.00,0.00
10,David Alaba,12.8,0,0,9,51,13,0.00,0.08,0.08
11,Raúl Albiol,22.6,0,0,8,62,0,0.00,0.04,0.04
12,Rubén Alcaraz,34.8,2,2,27,154,37,0.09,0.03,0.06
13,Omar Alderete,24.4,0,0,23,98,9,0.00,0.04,0.04
14,Iván Alejo,18.8,0,0,48,31,104,0.00,0.11,0.11
15,Carles Aleñá,11.3,0,0,12,23,45,0.09,0.09,0.18
16,Mohamed Ali Cho,2.8,0,0,16,3,19,0.00,0.00,0.00
17,Tadeo Allende,3.7,0,0,9,7,25,0.27,0.00,0.27
18,Domingos André Ribeiro Almeida,10.7,0,0,24,50,33,0.19,0.09,0.28
19,Marcos Alonso,2.8,0,0,11,14,33,0.00,0.00,0.00
20,Adrià Altimira,8.6,0,0,10,29,15,0.00,0.00,0.00
21,Sergi Altimira,6.3,0,0,10,31,8,0.16,0.00,0.16
22,Gastón Álvarez,28.2,0,0,11,63,40,0.07,0.00,0.07
23,Hugo Álvarez,8.5,0,0,36,34,80,0.12,0.12,0.24
24,Yeray Álvarez,12.8,0,0,13,55,2,0.00,0.00,0.00
25,Selim Amallah,6.7,0,0,7,21,36,0.00,0.15,0.15
26,Amath,4.4,0,0,19,13,30,0.00,0.00,0.00
27,Miguel Ángel Rubio,17.3,0,0,7,27,1,0.06,0.00,0.06
28,Fabrizio Angileri,1.8,0,0,2,7,6,0.00,0.00,0.00
29,Mauro Arambarri,3.8,0,0,2,20,6,0.00,0.00,0.00
30,Jon Aramburu,6.0,0,0,6,26,25,0.00,0.00,0.00
31,Julian Araujo,16.2,0,0,23,74,47,0.06,0.00,0.06
32,Ronald Araújo,22.2,0,0,24,101,11,0.05,0.09,0.14
33,Adu Ares,2.9,0,0,13,3,39,0.00,0.00,0.00
34,Jesús Areso,29.6,0,0,78,106,180,0.03,0.20,0.24
35,Matias Arezo,4.1,0,0,6,5,17,0.00,0.00,0.00
36,Iñigo Arguibide,0.2,0,0,0,0,0,0.00,0.00,0.00
37,José Arnaiz,10.3,0,0,23,11,85,0.19,0.10,0.29
38,Sergio Arribas,22.7,0,0,56,81,94,0.40,0.18,0.57
39,Kepa Arrizabalaga,13.3,0,0,0,0,0,0.00,0.00,0.00
40,Iago Aspas,30.1,3,5,84,161,202,0.30,0.33,0.53
41,Ezequiel Ávila,9.6,0,0,14,39,75,0.10,0.31,0.42
42,Ezequiel Ávila,3.3,0,0,7,6,31,0.30,0.00,0.30
43,César Azpilicueta,15.8,0,0,39,77,39,0.00,0.13,0.13
44,Iddrisu Baba,15.9,0,0,1,60,5,0.00,0.00,0.00
45,Srđan Babić,1.0,0,0,1,6,0,0.00,0.00,0.00
46,Loïc Bade,25.3,0,0,15,76,3,0.00,0.04,0.04
47,Alex Baena,28.7,0,1,84,165,181,0.07,0.49,0.56
48,Eric Bailly,9.3,0,0,3,18,1,0.00,0.00,0.00
49,Cédric Bakambu,2.2,0,0,5,4,12,0.00,0.00,0.00
50,Alejandro Balde,15.3,0,0,73,41,141,0.00,0.07,0.07
51,Iván Balliu,31.9,0,0,50,98,100,0.00,0.03,0.03
52,Jonathan Bamba,22.0,0,0,107,80,169,0.14,0.09,0.23
53,Léo Baptistão,20.4,0,0,26,45,88,0.29,0.00,0.29
54,Kike Barja,3.4,0,0,17,8,41,0.00,0.00,0.00
55,Ander Barrenetxea,15.9,0,0,56,39,163,0.25,0.06,0.32
56,Pablo Barrios,17.3,0,0,37,98,56,0.00,0.06,0.06
57,Marc Bartra,2.5,0,0,2,5,0,0.00,0.00,0.00
58,Augusto Batalla,17.0,0,0,0,1,1,0.00,0.00,0.00
59,Bebé,2.4,1,1,17,6,24,0.85,0.00,0.42
60,Sheraldo Becker,8.6,0,0,28,13,87,0.23,0.23,0.47
61,Héctor Bellerín,19.0,0,0,32,81,80,0.00,0.05,0.05
62,Jude Bellingham,25.7,1,1,85,196,177,0.74,0.23,0.93
63,Fran Beltrán,27.0,0,0,28,134,30,0.00,0.00,0.00
64,Carlos Benavídez,12.6,0,0,9,60,5,0.24,0.08,0.32
65,Yuri Berchiche,21.4,0,0,36,132,77,0.14,0.05,0.19
66,Álex Berenguer,17.7,1,1,61,30,143,0.40,0.17,0.51
67,Isaac Bernal,11.5,0,0,31,16,64,0.35,0.35,0.69
68,Antonio Blanco,27.0,0,0,20,133,22,0.00,0.04,0.04
69,Daley Blind,33.0,0,0,48,209,22,0.03,0.06,0.09
70,Adri Bosch,0.3,0,0,1,1,1,0.00,0.00,0.00
71,Yassine Bounou,1.0,0,0,0,0,0,0.00,0.00,0.00
72,Lucas Boyé,28.2,0,0,36,65,131,0.21,0.11,0.32
73,Juan Brandáriz,27.0,0,0,11,68,4,0.00,0.04,0.04
74,Darko Brašanac,0.5,0,0,2,1,3,0.00,0.00,0.00
75,Brau,0.3,0,0,2,0,0,0.00,0.00,0.00
76,Claudio Bravo,7.0,0,0,0,1,0,0.00,0.00,0.00
77,Ben Brereton,3.0,0,0,6,14,35,0.00,0.00,0.00
78,Ante Budimir,27.1,3,4,21,42,99,0.63,0.07,0.59
79,Pablo Busto,0.5,0,0,1,1,1,0.00,0.00,0.00
80,José Callejón,8.9,0,0,10,35,50,0.00,0.11,0.11
