,Jugador,Posición,% Regates completados
0,Nabil Aberdin,DF,0
1,Abner,DF,53.8
2,Abdel Abqar,DF,60.0
3,Marcos Acuña,DF,47.6
4,Julen Agirrezabala,GK,0
5,Lucien Agoume,MF,87.5
6,Joseph Aidoo,DF,100.0
7,Ilias Akhomach,"MF,FW",44.5
8,Sergio Akieme,DF,52.5
9,Paul Akouokou,MF,0
10,David Alaba,DF,0
11,Raúl Albiol,DF,0
12,Rubén Alcaraz,MF,43.5
13,Omar Alderete,DF,69.2
14,Iván Alejo,MF,39.3
15,Carles Aleñá,MF,21.4
16,Mohamed Ali Cho,"FW,MF",35.0
17,Tadeo Allende,"MF,FW",37.5
18,Domingos André Ribeiro Almeida,"FW,MF",44.8
19,Marcos Alonso,DF,50.0
20,Adrià Altimira,"DF,MF",68.8
21,Sergi Altimira,MF,54.5
22,Gastón Álvarez,DF,42.9
23,Hugo Álvarez,"MF,DF",55.2
24,Yeray Álvarez,DF,66.7
25,Selim Amallah,"FW,MF",42.9
26,Amath,"FW,MF",32.0
27,Miguel Ángel Rubio,DF,71.4
28,Fabrizio Angileri,"DF,MF",50.0
29,Mauro Arambarri,MF,33.3
30,Jon Aramburu,DF,28.6
31,Julian Araujo,DF,60.0
32,Ronald Araújo,DF,72.7
33,Adu Ares,FW,62.5
34,Jesús Areso,DF,53.7
35,Matias Arezo,FW,100.0
36,Iñigo Arguibide,DF,0
37,José Arnaiz,"FW,MF",37.9
38,Sergio Arribas,"MF,FW",32.7
39,Kepa Arrizabalaga,GK,0
40,Iago Aspas,FW,61.7
41,Ezequiel Ávila,"FW,MF",27.8
42,Ezequiel Ávila,FW,50.0
43,César Azpilicueta,DF,16.7
44,Iddrisu Baba,MF,73.7
45,Srđan Babić,DF,0
46,Loïc Bade,DF,52.4
47,Alex Baena,"MF,FW",49.1
48,Eric Bailly,DF,87.5
49,Cédric Bakambu,FW,33.3
50,Alejandro Balde,DF,37.7
51,Iván Balliu,DF,35.0
