,Jugador,Goles,% Disparos a puerta,Total de tiros/90,Disparos a puerta/90,Goles/tiros,Goles/tiros a puerta,Distancia media de los tiros
0,Nabil Aberdin,0,0,0.00,0.00,0,0,0
1,Abner,0,0.0,0.26,0.00,0.00,0,15.4
2,Abdel Abqar,0,30.0,0.39,0.12,0.00,0.00,12.1
3,Marcos Acuña,1,44.4,0.63,0.28,0.11,0.25,27.9
4,Julen Agirrezabala,0,0,0.00,0.00,0,0,0
5,Lucien Agoume,0,33.3,0.69,0.23,0.00,0.00,13.2
6,Joseph Aidoo,0,0.0,0.66,0.00,0.00,0,15.8
7,Ilias Akhomach,2,23.3,1.79,0.42,0.07,0.29,18.1
8,Sergio Akieme,2,55.6,0.48,0.27,0.22,0.40,17.4
9,Paul Akouokou,0,0,0.00,0.00,0,0,0
10,David Alaba,0,21.4,1.09,0.23,0.00,0.00,19.8
11,Raúl Albiol,0,16.7,0.27,0.04,0.00,0.00,9.5
12,Rubén Alcaraz,3,21.7,1.32,0.29,0.02,0.10,24.9
13,Omar Alderete,0,20.8,0.98,0.21,0.00,0.00,19.7
14,Iván Alejo,0,18.2,0.59,0.11,0.00,0.00,21.9
15,Carles Aleñá,1,31.3,1.41,0.44,0.06,0.20,18.8
16,Mohamed Ali Cho,0,0.0,1.08,0.00,0.00,0,17.4
17,Tadeo Allende,1,25.0,2.14,0.54,0.13,0.50,17.4
18,Domingos André Ribeiro Almeida,2,40.0,0.93,0.37,0.20,0.50,19.3
19,Marcos Alonso,0,66.7,1.07,0.71,0.00,0.00,20.8
20,Adrià Altimira,0,0.0,0.12,0.00,0.00,0,27.2
21,Sergi Altimira,1,28.6,1.11,0.32,0.14,0.50,22.3
22,Gastón Álvarez,2,21.4,0.50,0.11,0.14,0.67,16.5
23,Hugo Álvarez,1,33.3,1.42,0.47,0.08,0.25,13.9
24,Yeray Álvarez,0,28.6,0.55,0.16,0.00,0.00,14.2
25,Selim Amallah,0,36.4,1.64,0.60,0.00,0.00,21.9
26,Amath,0,16.7,2.74,0.46,0.00,0.00,14.1
27,Miguel Ángel Rubio,1,22.2,0.52,0.12,0.11,0.50,10.4
28,Fabrizio Angileri,0,0,0.00,0.00,0,0,0
29,Mauro Arambarri,0,22.2,2.39,0.53,0.00,0.00,21.7
30,Jon Aramburu,0,0.0,0.66,0.00,0.00,0,23.2
31,Julian Araujo,1,28.6,0.43,0.12,0.14,0.50,20.5
32,Ronald Araújo,1,39.1,1.04,0.41,0.04,0.11,12.4
33,Adu Ares,0,0.0,1.36,0.00,0.00,0,21.2
34,Jesús Areso,1,22.2,0.30,0.07,0.11,0.50,27.1
35,Matias Arezo,0,33.3,2.93,0.98,0.00,0.00,18.1
36,Iñigo Arguibide,0,0,0.00,0.00,0,0,0
37,José Arnaiz,2,31.0,2.81,0.87,0.07,0.22,22.7
38,Sergio Arribas,9,36.7,2.64,0.97,0.15,0.41,16.8
39,Kepa Arrizabalaga,0,0,0.00,0.00,0,0,0
40,Iago Aspas,9,31.1,2.46,0.76,0.08,0.26,20.0
41,Ezequiel Ávila,1,22.2,2.81,0.62,0.04,0.17,21.2
42,Ezequiel Ávila,1,33.3,2.72,0.91,0.11,0.33,21.9
43,César Azpilicueta,0,100.0,0.13,0.13,0.00,0.00,20.3
44,Iddrisu Baba,0,25.0,0.50,0.13,0.00,0.00,25.6
45,Srđan Babić,0,0.0,1.00,0.00,0.00,0,11.6
46,Loïc Bade,0,21.4,0.55,0.12,0.00,0.00,12.7
47,Alex Baena,2,34.7,2.51,0.87,0.03,0.08,20.8
48,Eric Bailly,0,0.0,0.21,0.00,0.00,0,9.7
