,Jugador,Posición,Pelotas recuperadas,% Duelos aéreos ganados
0,Nabil Aberdin,DF,10,40.0
1,Abner,DF,79,58.3
2,Abdel Abqar,DF,109,52.0
3,Marcos Acuña,DF,99,54.2
4,Julen Agirrezabala,GK,6,100.0
5,Lucien Agoume,MF,48,56.3
6,Joseph Aidoo,DF,22,60.9
7,Ilias Akhomach,"MF,FW",70,30.0
8,Sergio Akieme,DF,99,40.0
9,Paul Akouokou,MF,0,0
10,David Alaba,DF,63,52.6
11,Raúl Albiol,DF,75,61.3
12,Rubén Alcaraz,MF,234,49.0
13,Omar Alderete,DF,107,55.0
14,Iván Alejo,MF,87,45.5
15,Carles Aleñá,MF,53,36.7
16,Mohamed Ali Cho,"FW,MF",16,33.3
17,Tadeo Allende,"MF,FW",19,55.6
18,Domingos André Ribeiro Almeida,"FW,MF",43,21.1
19,Marcos Alonso,DF,14,33.3
20,Adrià Altimira,"DF,MF",42,22.2
21,Sergi Altimira,MF,41,33.3
22,Gastón Álvarez,DF,132,63.0
23,Hugo Álvarez,"MF,DF",47,45.5
24,Yeray Álvarez,DF,68,74.1
25,Selim Amallah,"FW,MF",36,42.3
26,Amath,"FW,MF",21,54.5
27,Miguel Ángel Rubio,DF,77,65.9
28,Fabrizio Angileri,"DF,MF",15,54.5
29,Mauro Arambarri,MF,27,38.5
30,Jon Aramburu,DF,24,50.0
31,Julian Araujo,DF,81,58.0
32,Ronald Araújo,DF,102,73.2
33,Adu Ares,FW,15,25.0
34,Jesús Areso,DF,130,57.1
35,Matias Arezo,FW,13,39.3
36,Iñigo Arguibide,DF,1,100.0
37,José Arnaiz,"FW,MF",39,44.0
38,Sergio Arribas,"MF,FW",91,44.2
39,Kepa Arrizabalaga,GK,17,100.0
40,Iago Aspas,FW,99,18.9
41,Ezequiel Ávila,"FW,MF",37,33.3
42,Ezequiel Ávila,FW,9,44.4
43,César Azpilicueta,DF,72,47.7
44,Iddrisu Baba,MF,123,63.8
45,Srđan Babić,DF,4,75.0
46,Loïc Bade,DF,151,66.7
47,Alex Baena,"MF,FW",116,40.0
48,Eric Bailly,DF,51,68.2
49,Cédric Bakambu,FW,4,30.0
50,Alejandro Balde,DF,67,48.0
51,Iván Balliu,DF,127,52.6
52,Jonathan Bamba,"MF,FW",101,24.1
53,Léo Baptistão,FW,85,40.7
54,Kike Barja,"FW,MF",16,37.5
55,Ander Barrenetxea,"FW,MF",83,36.8
56,Pablo Barrios,MF,94,40.0
57,Marc Bartra,DF,15,50.0
58,Augusto Batalla,GK,28,100.0
59,Bebé,"MF,FW",12,20.0
60,Sheraldo Becker,"FW,MF",27,29.4
61,Héctor Bellerín,DF,86,32.7
62,Jude Bellingham,MF,118,49.0
63,Fran Beltrán,MF,160,28.3
64,Carlos Benavídez,MF,72,53.8
65,Yuri Berchiche,DF,119,62.3
66,Álex Berenguer,FW,63,32.3
67,Isaac Bernal,FW,36,45.7
68,Antonio Blanco,MF,160,53.8
69,Daley Blind,DF,147,54.9
70,Adri Bosch,DF,2,0.0
71,Yassine Bounou,GK,0,0
72,Lucas Boyé,FW,113,43.0
73,Juan Brandáriz,DF,93,58.1
74,Darko Brašanac,MF,0,50.0
75,Brau,DF,0,0
76,Claudio Bravo,GK,14,100.0
77,Ben Brereton,"FW,MF",13,33.3
78,Ante Budimir,FW,55,56.0
79,Pablo Busto,DF,1,0
80,José Callejón,"MF,FW",48,41.2
81,Eduardo Camavinga,"MF,DF",146,51.4
82,Sergio Camello,FW,60,28.6
83,José Campaña,MF,16,100.0
84,João Cancelo,DF,165,51.1
85,Sergi Canós,"MF,FW",64,54.2
86,Étienne Capoue,MF,97,52.5
87,Isaac Carcelen,DF,129,37.9
88,Cárdenas,GK,1,0
89,Marc Cardona,FW,26,39.1
90,Sergi Cardona,DF,188,58.4
91,Johnny Cardoso,MF,91,60.3
92,Carmona,"DF,MF",71,47.4
93,Yannick Carrasco,DF,15,0.0
94,Álvaro Carreras,"MF,FW",29,66.7
95,Dani Carvajal,DF,120,52.5
96,William Carvalho,MF,47,72.7
97,Marc Casado,MF,2,0
98,Catena,DF,129,66.3
99,Dani Ceballos,"MF,FW",38,28.6
100,Álex Centelles,DF,42,57.7
101,Franco Cervi,"MF,DF",54,42.9
102,Pep Chavarría,"DF,MF",68,56.5
103,Andreas Christensen,"DF,MF",107,71.1
104,Víctor Chust,DF,83,51.0
105,Pathé Ciss,MF,127,54.3
106,Silvi Clúa,MF,0,0
107,Saúl Coco,DF,104,61.1
108,Santi Comesaña,MF,85,54.4
109,Copete,DF,75,55.6
110,Francis Coquelin,MF,60,52.4
111,Theo Corbeanu,"MF,FW",13,80.0
112,Jesús Corona,"MF,DF",2,0
113,Ángel Correa,"FW,MF",63,27.8
114,Thierry Correia,DF,153,33.3
115,Jaume Costa,DF,78,44.8
116,Samu Costa,MF,164,66.3
117,Thibaut Courtois,GK,6,100.0
118,Yan Couto,"DF,FW",153,23.5
119,Crespo,MF,31,64.3
120,Cristian,GK,1,100.0
121,Juan Cruz Armada,DF,89,55.3
122,Juan Cruz,FW,4,100.0
123,Pau Cubarsí,DF,59,51.9
124,Iván Cuéllar,GK,1,0
125,Jorge Cuenca,DF,82,61.2
126,Eric Curbelo,"DF,MF",11,0.0
127,Alberto Dadie,MF,2,0
128,Sergi Darder,MF,124,36.4
129,Rodrigo De Paul,MF,145,55.6
130,Mouctar Diakhaby,"DF,MF",67,65.8
131,Moussa Diakité,MF,1,0
132,Assane Diao,FW,47,38.9
133,Brahim Díaz,"FW,MF",74,25.0
134,Víctor Díaz,"DF,MF",6,75.0
135,Famara Diedhiou,"FW,MF",5,66.7
136,Stole Dimitrievski,GK,37,85.7
137,Djené,"DF,MF",175,56.1
138,Marko Dmitrović,GK,13,100.0
139,Jaume Doménech,GK,1,0.0
140,Carlos Dominguez,DF,71,54.5
141,Mario Dominguez,FW,0,0.0
142,Carlos Dotor,MF,49,38.5
143,Anastasios Douvikas,FW,22,55.6
144,Artem Dovbyk,FW,24,49.4
145,Domingos Duarte,DF,45,58.3
146,Rubén Duarte,DF,93,50.9
147,Hugo Duro,FW,81,31.7
148,Aritz Elustondo,DF,38,69.0
149,Adri Embarba,"FW,MF",141,36.8
150,Youssef En-Nesyri,FW,43,42.8
151,Gonzalo Escalante,MF,91,50.8
152,Aarón Escandell,GK,5,0
153,Alfonso Espino,DF,171,33.3
154,Bernardo Espinosa,DF,1,50.0
155,Karl Etta,FW,0,0.0
156,Abdessamad Ezzalzouli,"FW,MF",2,33.3
157,Abdessamad Ezzalzouli,FW,44,50.0
158,Radamel Falcao,"FW,DF",20,36.8
159,Fali,DF,127,50.0
160,Ansu Fati,"MF,FW",2,50.0
161,Nabil Fekir,"MF,FW",42,47.6
162,Luiz Felipe,DF,23,25.0
163,João Félix,FW,68,50.0
164,Kiko Femenía,DF,106,47.6
165,Aitor Fernández,GK,11,0.0
166,Álex Fernández,MF,82,44.8
167,Carlos Fernández,FW,18,48.5
168,Raúl Fernández,GK,8,0
169,Valery Fernández,"MF,FW",30,40.0
170,Fernando,GK,5,100.0
171,Fernando,MF,35,55.6
172,André Ferreira,GK,18,87.5
173,Rachad Fettal,FW,1,100.0
174,Pablo Fornals,"FW,MF",72,55.0
175,Héctor Fort,DF,16,0.0
176,Dimitri Foulquier,"DF,MF",111,37.0
177,Juan Foyth,DF,58,61.9
178,Jorge de Frutos,"FW,MF",81,43.8
179,Daniel Fuzato,GK,1,0
180,Matteo Gabbia,DF,20,77.3
181,Javi Galán,DF,7,75.0
182,Javi Galán,DF,61,53.8
183,Iñigo Ruiz de Galarreta,MF,152,48.9
184,Aleix García,MF,208,42.5
185,Álvaro García,"FW,MF",111,34.1
186,Dani García,MF,40,46.7
187,David García,DF,129,72.7
188,Eric García,DF,3,100.0
189,Eric García,DF,128,57.0
190,Fran Garcia,DF,104,31.8
191,Francisco Jesús Crespo García,FW,21,66.7
192,Gonzalo García,"FW,MF",1,0
193,Jastin García,FW,1,0
194,Raúl García,"FW,MF",19,58.7
195,Rubén García,"FW,MF",86,45.5
196,Santiago García,FW,5,0
197,Unai García,DF,21,36.4
198,Federico Gattoni,"DF,FW",1,66.7
199,Gavi,"MF,FW",44,33.3
200,Paulo Gazzaniga,GK,46,100.0
201,David Gil,GK,2,100.0
202,Maxi Gómez,FW,15,50.7
203,Moi Gómez,"MF,FW",118,41.9
204,Unai Gómez,MF,45,46.4
205,Édgar González,"DF,MF",93,54.3
206,Fabio González,MF,13,33.3
207,Giovanni González,DF,154,50.7
208,Hugo González,"MF,FW",8,0.0
209,Iñaki González,MF,0,0
210,Peter González,"MF,FW",27,50.0
211,Urko González,MF,13,55.6
212,Andoni Gorosabel,DF,164,30.5
213,Pablo Gozalbez,"MF,FW",6,16.7
214,Mason Greenwood,"MF,FW",120,20.0
215,Dominik Greif,GK,1,0
216,Antoine Griezmann,"FW,MF",100,34.1
217,Vicente Guaita,GK,21,91.7
218,Andrés Guardado,MF,37,36.4
219,Sergi Guardiola,"FW,MF",27,33.3
220,Nemanja Gudelj,"DF,MF",85,66.1
221,Gonçalo Guedes,"FW,MF",29,16.7
222,Javier Guerra,MF,177,43.9
223,Ander Guevara,MF,218,52.3
224,Hugo Guillamón,MF,80,50.0
225,Marc Guiu,"FW,MF",1,25.0
226,Arda Güler,"FW,MF",21,0
227,Gerard Gumbau,MF,126,48.9
228,İlkay Gündoğan,MF,189,28.0
229,Jon Guridi,MF,131,48.9
230,Gorka Guruzeta,FW,78,43.5
231,Miguel Gutiérrez,DF,203,55.0
232,Munir El Haddadi,FW,91,31.1
233,Ianis Hagi,"MF,FW",33,54.2
234,Luiz Henrique,FW,29,51.7
